Frame#,Time,XW,YW,ZW,XRM,YRM,ZRM,VXW,VYW,VZW,VXRM,VYRM,VZRM,AXW,AYW,AZW,AXRM,AYRM,AZRM,AXRM_G,AYRM_G,AZRM_G
21,0.333,-24.39884,29.63211,87.37582,-14.1154,28.608,118.2887,2.2425,5.201505017,-0.775170123,-0.073201078,22.18508026,-0.43057802,42.50919118,-0.606551158,1.224766465,0.89019535,4071.079211,1.236217418,0.09083626,415.416246,0.126144634
22,0.35,-24.36809,29.83287,87.22916,-14.14071,28.83032,118.1842,1.808823529,6.528780488,-0.730524009,0.172576026,-8.783879889,-0.470043181,-25.51038062,43.16342995,0.222385505,-1.675829159,1223.58594,-0.177515118,-0.171002975,124.8557082,-0.018113788
23,0.367,-24.34245,30.03446,87.07578,-14.21544,29.0772,118.11384,1.508235294,7.862324493,-0.760851233,0.48722128,-3.303626388,-0.28499676,-17.6816609,52.01029661,-0.150440121,-2.051409925,-73.33404926,0.749539944,-0.209327543,-7.483066251,0.076483668
24,0.383,-24.35011,30.2441,86.90424,-14.35337,29.31107,118.03975,-0.47875,-27.36814621,-0.818259874,0.804069022,-1.695570217,-0.316799932,-124.1865809,4599.27816,-0.273843929,-1.84707789,-11.65849468,-0.13598654,-0.188477336,-1.189642314,-0.013876178
25,0.4,-24.41969,30.47851,86.72997,-14.58657,29.53446,117.95014,-4.092941176,-3.368927853,-0.743440979,1.33815344,-0.957933105,-0.401137025,-212.599481,-344.9154694,0.319179619,-3.064695118,-3.1631094,-0.377532984,-0.312723992,-0.322766265,-0.038523774
26,0.417,-24.57695,30.7094,86.54685,-14.93868,29.76922,117.84927,-9.250588235,-1.46820552,-0.793104942,1.922837484,-0.666723467,-0.429672857,-303.3910035,-12.08649582,-0.215097935,-3.192901068,-0.827041656,-0.121553214,-0.325806231,-0.084392006,-0.012403389
27,0.433,-24.81834,30.93943,86.33993,-15.36996,29.9949,117.71266,-15.086875,-0.952939227,-0.899534843,2.084283781,-0.52327954,-0.605326125,-364.7679228,-2.134580109,-0.462678353,-0.780235345,-0.332600462,-0.778328909,-0.079615852,-0.033938823,-0.079421317
28,0.45,-25.17546,31.1903,86.08945,-15.88242,30.19953,117.49023,-21.00705882,-0.702480959,-0.99844541,2.045911849,-0.399309214,-1.086986268,-348.2461073,-0.701328036,-0.394270206,0.153193596,-0.241912199,-2.35381001,0.015632,-0.024684918,-0.240184695
29,0.467,-25.58927,31.43864,85.80884,-16.49391,30.41805,117.29641,-24.34176471,-0.600130495,-1.12994282,2.179145433,-0.357356621,-0.886966868,-196.1591696,-0.247336855,-0.529505558,-0.474799843,-0.068607162,0.915336811,-0.048448964,-0.007000731,0.093401715
30,0.483,-26.16637,31.65773,85.53181,-17.22375,30.5821,117.08469,-36.06875,-0.379639577,-1.264457529,2.634516117,-0.224775293,-1.29058214,-732.9365809,-0.38206709,-0.613970097,-1.643759464,-0.181658072,-2.460318632,-0.167730558,-0.018536538,-0.251052922
31,0.5,-26.85171,31.86047,85.30248,-18.06631,30.6824,116.91156,-40.31411765,-0.295823971,-1.131153201,3.67400689,-0.119041967,-1.726121635,-249.7275087,-0.122297847,0.657513701,-4.532729134,-0.12549056,-4.342367851,-0.462523381,-0.012805159,-0.44309876
32,0.517,-27.54869,32.01327,85.15691,-19.0049,30.74165,116.79234,-40.99882353,-0.219231542,-0.952683246,6.447688397,-0.063126605,-2.012151899,-40.27681661,-0.10989186,1.167997088,-19.0539363,-0.059573789,-4.827514998,-1.944279214,-0.006078958,-0.492603571
33,0.533,-28.54706,32.17113,85.10857,-19.98051,30.77028,116.71467,-62.398125,-0.158117732,-0.306220702,20.18225072,-0.029345743,-2.712888578,-1337.456342,-0.061213588,4.095163716,-284.1241689,-0.034625375,-24.47560879,-28.99226213,-0.003533202,-2.497511101
34,0.55,-29.853,32.28566,85.20507,-20.96934,30.80929,116.69012,-76.82,-0.087699282,0.842573998,-10.24694301,-0.039450664,-0.629325814,-848.3455882,-0.053921658,10.0305134,-315.3284324,0.010219068,53.41099114,-32.17637065,0.001042762,5.450101137
35,0.567,-31.13721,32.34546,85.36392,-21.95252,30.86782,116.72834,-75.54176471,-0.046565593,2.656354515,-6.189361032,-0.059531317,0.652998462,75.19031142,-0.032030345,30.33077788,25.5434811,0.020424188,21.9088378,2.606477663,0.002084101,2.235595694
36,0.583,-32.49936,32.37905,85.57111,-22.88959,30.99526,116.78401,-85.134375,-0.024659546,6.168204823,-4.52275689,-0.135998378,0.436833019,-599.5381434,-0.016081964,104.5504706,8.043844503,0.081602294,-1.696213456,0.820800459,0.008326765,-0.173083006
37,0.6,-34.01751,32.38431,85.85306,-23.82805,31.16878,116.84953,-89.30294118,-0.003464743,53.6026616,-3.328462493,-0.184898664,0.377593361,-245.2097751,-0.013960941,9017.957562,4.235837547,0.052106947,-0.341399599,0.432228321,0.005317035,-0.034836694
38,0.617,-35.62065,32.38165,86.14516,-24.77653,31.34158,116.89548,-94.30235294,0.001659244,-109.8120301,-3.247107155,-0.182186235,0.265914352,-294.083045,-0.003196219,61434.09461,0.278518789,-0.002859764,-0.646290562,0.028420285,-0.000291813,-0.065948017
39,0.633,-37.27725,32.35807,86.46329,-25.80437,31.49289,116.91648,-103.5375,0.014233973,-13.49151824,-3.230880458,-0.147211628,0.138787919,-577.1966912,-0.007590685,-4084.839349,0.051006499,-0.034027287,-0.840172051,0.005204745,-0.003472172,-0.085731842
40,0.65,-39.12825,32.29251,86.83018,-26.91244,31.63489,116.92034,-108.8823529,0.035418693,-5.596247712,-3.020169533,-0.128150749,0.027183099,-314.4031142,-0.011445013,-120.4281654,0.574316347,-0.017201873,-0.785949438,0.058603709,-0.001755293,-0.080198922
41,0.667,-41.07158,32.2171,87.22511,-28.09207,31.78127,116.89599,-114.3135294,0.038804526,-5.237103832,-2.986934393,-0.124089757,-0.166347862,-319.4809689,-0.001742284,-4.76254979,0.084154508,-0.003442598,-1.322113406,0.008587195,-0.000351286,-0.134909531
42,0.683,-43.06857,32.10603,87.61724,-29.33267,31.84687,116.84022,-124.811875,0.055618706,-3.530476276,-3.163746717,-0.05287764,-0.850152439,-656.1465993,-0.008419762,-15.36533318,-0.450902311,-0.057401352,-10.42385026,-0.04601044,-0.005857281,-1.06365819
43,0.7,-45.17968,32.02193,88.03507,-30.63476,31.89728,116.75353,-124.1829412,0.039836863,-4.968252081,-3.116315248,-0.038714682,-1.719698473,36.99610727,0.007475614,17.09602621,0.113518581,-0.010877096,-17.24947498,0.011583529,-0.001109908,-1.760150508
44,0.717,-47.2954,31.87687,88.4632,-31.9803,31.93151,116.64449,-124.4541176,0.068562948,-2.951399421,-3.142830449,-0.0254396,-3.185509787,-15.95155709,-0.013577451,-13.90357549,-0.061932593,-0.009865988,-42.82241642,-0.006319652,-0.001006733,-4.369634329
45,0.733,-49.45952,31.7354,88.89903,-33.39965,31.93839,116.54583,-135.2575,0.065370682,-3.080723828,-3.256659707,-0.004847289,-14.34011628,-675.2113971,0.001475087,0.914147222,-0.261178115,-0.014508269,-1621.309083,-0.026650828,-0.001480436,-165.4397023
46,0.75,-51.62162,31.5506,89.31576,-34.81564,31.91904,116.42104,-127.1823529,0.085472457,-2.255032468,-3.397859525,0.013665351,6.449095607,475.0086505,-0.009297338,-4.468026844,-0.338828063,-0.013073991,-1074.377875,-0.034574292,-0.001334081,-109.6303954
47,0.767,-53.7727,31.35622,89.71368,-36.28592,31.84899,116.29795,-126.5341176,0.09036391,-2.04712419,-3.69491355,0.047643986,1.757173448,38.13148789,-0.002273952,-1.069597067,-0.746516951,-0.023110316,66.97961684,-0.076175199,-0.002358196,6.83465478
48,0.783,-55.89171,31.17324,90.11395,-37.7499,31.80389,116.15756,-132.438125,0.086351645,-2.187506831,-3.6574812,0.030806432,3.11286031,-369.0004596,0.001893462,0.767202107,0.093517751,0.011501219,-30.05957567,0.009542628,0.001173594,-3.06730364
49,0.8,-58.00404,30.92986,90.5183,-39.23302,31.69366,116.00462,-124.2547059,0.115218739,-1.661393705,-3.667911463,0.074323049,1.387462578,481.3775952,-0.013665996,-2.161694166,-0.025795135,-0.029341265,15.65270554,-0.002632157,-0.002994007,1.597214851
50,0.817,-60.02608,30.70066,90.87329,-40.72226,31.60025,115.84673,-118.9435294,0.113350873,-1.54882199,-4.195160427,0.062723268,1.690290119,312.4221453,0.000923753,-0.491150592,-1.485250188,0.007789061,-3.241917788,-0.151556142,0.000794802,-0.330807938
51,0.833,-62.0234,30.46305,91.17184,-42.31958,31.46776,115.6982,-124.8325,0.118964412,-1.256470687,-5.350259588,0.082945183,1.121065741,-368.0606618,-0.002810536,-1.23038299,-3.869030852,-0.012659902,4.296357295,-0.394799067,-0.001291827,0.438403806
52,0.85,-63.91688,30.20071,91.39687,-43.90155,31.33996,115.55796,-111.3811765,0.138549126,-0.85777998,-7.030040439,0.08078535,1.097339593,791.2543253,-0.010343238,-1.519748064,-7.464697378,0.001365281,0.185650608,-0.761703814,0.000139314,0.01894394
53,0.867,-65.78976,29.93915,91.56847,-45.50822,31.18259,115.42164,-110.1694118,0.139656572,-0.656063618,-9.362878788,0.09794793,0.8662388,71.28027682,-0.000591306,-0.771204932,-13.59462907,-0.010682081,1.468518732,-1.387207048,-0.001090008,0.14984885
54,0.883,-67.57054,29.65854,91.67952,-47.1997,31.04757,115.29704,-111.29875,0.157577017,-0.395744984,-15.23169743,0.079823586,0.922826248,-70.58363971,-0.010063256,-0.927688372,-52.84843445,0.01071508,-0.41910419,-5.392697393,0.001093376,-0.042765734
55,0.9,-69.34069,29.36328,91.75163,-48.90767,30.8553,115.22277,-104.1264706,0.166799424,-0.244225428,-23.68561919,0.112572235,0.386279711,421.8987889,-0.005209958,-0.513173324,-117.2364687,-0.019174019,2.790588949,-11.96290497,-0.001956533,0.284753974
56,0.917,-71.00564,29.12208,91.76914,-50.65115,30.68063,115.17198,-97.93823529,0.144869215,-0.072595357,-99.57053113,0.100184688,0.290776894,364.0138408,0.013171692,-0.711567462,-4333.804222,0.00710507,0.54676142,-442.2249206,0.000725007,0.055791982
57,0.933,-72.60948,28.9032,91.68867,-52.38408,30.49222,115.13394,-100.24,0.136472466,0.367644371,21.53510625,0.108723376,0.201900111,-143.8602941,0.005235403,-2.011329166,-1504.978717,-0.004927313,0.47172009,-153.5692568,-0.000502787,0.048134703
58,0.95,-74.12193,28.66666,91.55445,-54.10898,30.33152,115.08452,-88.96764706,0.156395253,0.567430456,12.85128893,0.093164821,0.307529558,663.0795848,-0.013172526,-0.844618603,64.69838565,0.009019975,-0.657308318,6.601876087,0.000920406,-0.067072277
59,0.967,-75.52691,28.4844,91.32512,-55.79544,30.16486,115.03975,-82.64588235,0.129724267,1.258257434,7.353856887,0.098822385,0.268630745,371.8685121,0.018983179,-3.790337862,23.97170907,-0.003354698,0.233402214,2.446092762,-0.000342316,0.023816552
60,0.983,-76.7794,28.3933,90.98264,-57.47016,30.0279,115.01055,-78.280625,0.072735112,3.759385291,4.889978977,0.081780835,0.213200935,272.8285846,0.045500687,-27.45475144,7.194224219,0.010175761,0.404715323,0.734104512,0.001038343,0.041297482
61,1,-77.92113,28.30967,90.58869,-59.02178,29.86407,115.00254,-67.16058824,0.073248491,4.710630157,3.938621652,0.105586419,0.048892144,654.1198097,-0.000449651,-11.37444536,2.41491896,-0.015342406,1.002922482,0.246420302,-0.001565552,0.102339029
62,1.017,-78.90449,28.33978,90.08467,-60.54621,29.70023,115.04668,-57.84470588,-0.030619509,-16.73928927,3.024542677,0.107476237,-0.26940918,547.9930796,0.10562561,-712.3852351,1.813576794,-0.001239688,1.942757104,0.185058857,-0.000126499,0.198240521
63,1.033,-79.66195,28.44316,89.45681,-61.96756,29.55396,115.13994,-47.34125,-0.136482455,-6.073321726,2.263800847,0.102909206,-0.637588022,656.4659926,0.139760444,103.1724468,1.211642451,0.003213164,2.517117949,0.123636985,0.000327874,0.25684877
64,1.05,-80.22068,28.7088,88.7241,-63.34925,29.4346,115.1977,-32.86647059,-0.475435362,-2.758281885,1.885725594,0.086386961,-0.483914209,851.4576125,0.606648843,12.47944527,0.51599576,0.011957997,-1.287481678,0.052652629,0.001220204,-0.131375681
65,1.067,-80.56975,29.00247,87.92457,-64.79441,29.28646,115.28056,-20.53352941,-0.841292577,-2.722545715,1.807511913,0.102507681,-0.559335763,725.467128,1.048091257,0.12168819,0.097824573,-0.011154972,0.509123494,0.009982099,-0.001138262,0.051951377
66,1.083,-80.81012,29.37267,87.10587,-66.29113,29.13205,115.35304,-15.023125,-1.54012564,-2.211507293,1.828166606,0.103165589,-0.46939965,344.4002757,2.907322304,1.380438739,-0.025228646,-0.000439566,-0.582450056,-0.002574352,-4.48537E-05,-0.059433679
67,1.1,-80.94427,29.76684,86.36938,-67.80231,28.94049,115.46231,-7.891176471,-2.938278047,-1.868457772,2.051867642,0.126761868,-0.5704218,419.5263841,10.42230643,0.87030855,-0.303739408,-0.015614473,0.527365576,-0.030993817,-0.001593314,0.053812814
68,1.117,-81.07057,30.20938,85.77905,-69.25184,28.77913,115.58141,-7.429411765,-3.503879652,-1.333958512,2.455457117,0.111318841,-0.73810114,27.16262976,4.47823915,1.207798752,-0.683667567,0.010653817,1.039162992,-0.069761997,0.001087124,0.10603704
69,1.133,-81.14063,30.70255,85.28552,-70.61799,28.72318,115.78792,-4.37875,-7.03925207,-1.000729971,2.768119466,0.040954507,-3.690974084,190.6663603,50.46206706,0.675686966,-0.633522478,0.05150557,52.77699631,-0.064645151,0.00525567,5.385407787
70,1.15,-81.18298,31.13521,84.96648,-71.88715,28.77134,116.05182,-2.491176471,-10.2162928,-0.737391947,3.978059178,-0.037946358,5.479651163,111.033737,75.01867127,0.608648879,-3.792438916,0.062167785,190.4199594,-0.386983563,0.006343652,19.4306081
71,1.167,-81.23274,31.62134,84.71975,-73.11886,28.83758,116.33237,-2.927058824,-9.769493569,-0.507539136,4.992137154,-0.053778893,4.23535628,-25.64013841,-8.979084184,0.472821698,-4.110071643,0.012854109,-18.78464497,-0.419395066,0.001311644,-1.916800507
72,1.183,-81.33672,32.1106,84.59981,-74.39211,29.0068,116.69711,-6.49875,-4.705327948,-0.24514573,10.61572453,-0.132903986,2.155418981,-223.2306985,-48.70326622,0.536306678,-46.88667146,0.062144193,-12.29132076,-4.784354231,0.006341244,-1.254216404
73,1.2,-81.48765,32.62664,84.51156,-75.71297,29.13892,116.95258,-8.878235294,-3.419068442,-0.171013875,14.96725212,-0.100025741,1.933620951,-139.9697232,-8.522225571,0.14365525,-49.30909457,-0.024891544,-1.678761963,-5.031540262,-0.002539953,-0.171302241
74,1.217,-81.7167,33.16548,84.52369,-77.10229,29.23899,117.15833,-13.47352941,-2.352499454,0.022511321,-114.5358615,-0.072028042,2.056060757,-270.3114187,-4.656489797,0.359151502,-10676.26658,-0.020152088,1.223541589,-1089.414957,-0.002056336,0.124851183
75,1.233,-82.1078,33.65427,84.58945,-78.5704,29.41242,117.36626,-24.44375,-1.249782664,0.134536304,-22.32527372,-0.118131475,1.198927521,-685.6387868,-2.819526438,0.22918837,1402.229133,0.031403255,-4.942243189,143.0846054,0.003204414,-0.504310529
76,1.25,-82.60262,34.24656,84.64062,-80.0787,29.5773,117.46349,-29.10705882,-1.19698072,0.08639349,-29.47625562,-0.109315123,0.589701601,-274.3122837,-0.106709397,-0.081282504,-139.7494996,-0.005845225,-3.694965551,-14.26015302,-0.000596452,-0.377037301
77,1.267,-83.19955,34.8088,84.68532,-81.613,29.80351,117.55836,-35.11352941,-0.941885983,0.079503415,-34.32438479,-0.147435313,0.419389063,-353.3217993,-0.427344474,-0.012254686,-108.4592655,0.02484533,-0.752895707,-11.06727199,0.002535238,-0.076826093
78,1.283,-83.9579,35.36742,84.69317,-83.21656,30.08919,117.58999,-47.396875,-0.736625569,0.014052486,-204.2751592,-0.178153608,0.110718286,-767.7090993,-0.270667125,-0.117165387,-21649.78018,0.019156312,-1.080477377,-2209.161243,0.001954726,-0.110252794
79,1.3,-84.88548,35.94265,84.67817,-84.84476,30.3762,117.57079,-54.56352941,-0.620140581,-0.026076526,108.5466667,-0.176274413,-0.066896624,-421.5679066,-0.125579452,-0.069761682,-20854.78839,-0.001154155,-0.61884572,-2128.039632,-0.000117771,-0.063147522
80,1.317,-86.01212,36.51199,84.65313,-86.55793,30.69964,117.4998,-66.27294118,-0.505343322,-0.04398075,68.41733227,-0.188796208,-0.219484294,-688.7889273,-0.10189347,-0.031447332,1602.609201,0.007309137,-0.471764995,163.5315511,0.00074583,-0.048139285
81,1.333,-87.32291,37.08322,84.57207,-88.3279,31.01377,117.36565,-81.924375,-0.43579063,-0.141904312,21.83530718,-0.177477584,-0.427052494,-978.214614,-0.053061659,-0.171425804,574.6610546,-0.006394811,-0.660771656,58.63888312,-0.000652532,-0.067425679
82,1.35,-88.85742,37.62877,84.45236,-90.1815,31.35018,117.20205,-90.26529412,-0.355520655,-0.219429933,15.48408654,-0.181490073,-0.486311346,-490.642301,-0.052309842,-0.142105437,53.05505503,0.002164701,-0.176150685,5.413781126,0.000220888,-0.01797456
83,1.367,-90.59766,38.1627,84.25579,-92.13185,31.67761,116.97467,-102.3670588,-0.306814003,-0.368156874,9.92191077,-0.167882688,-0.694438506,-711.8685121,-0.027988468,-0.278551386,28.29615797,-0.006976894,-0.635638639,2.887363058,-0.000711928,-0.064861086
84,1.383,-92.5518,38.63471,84.01633,-94.19502,31.98474,116.71275,-122.13375,-0.241543595,-0.50731976,8.615927504,-0.148863157,-0.852798489,-1235.418199,-0.033401091,-0.294830376,5.453868146,-0.009218596,-0.515612227,0.556517158,-0.000940673,-0.052613493
85,1.4,-94.75341,39.03977,83.69669,-96.38258,32.29719,116.40704,-129.5064706,-0.183983539,-0.789117662,6.843824302,-0.142830368,-0.978428549,-433.6894464,-0.026144528,-0.695694222,5.544059571,-0.002757771,-0.402080523,0.565720364,-0.000281405,-0.041028625
86,1.417,-97.24671,39.36354,83.38602,-98.65615,32.60104,116.03166,-146.6647059,-0.129856014,-0.959539179,7.318279847,-0.133644445,-1.23541221,-1009.307958,-0.021709191,-0.526365993,-1.527201031,-0.004040308,-0.845758306,-0.15583684,-0.000412276,-0.086301868
87,1.433,-99.93701,39.60932,82.99323,-101.11444,32.93444,115.64275,-168.14375,-0.091357841,-1.598136545,6.258535095,-0.13562273,-1.166496701,-1342.440257,-0.014309993,-2.598247888,2.697993207,0.00080474,0.206705187,0.275305429,8.21163E-05,0.021092366
88,1.45,-102.87369,39.77135,82.55019,-103.65945,33.22105,115.2257,-172.7458824,-0.055174551,-2.734308461,5.744424883,-0.112616453,-1.45511322,-270.7136678,-0.012321155,-7.012108354,1.160414889,-0.009039759,-1.00700087,0.118409683,-0.000922424,-0.102755191
89,1.467,-106.03878,39.84217,82.07504,-106.41326,33.51052,114.80256,-186.1817647,-0.022375351,-6.70926292,5.795664527,-0.105116184,-1.461774968,-790.3460208,-0.010362802,-56.12756931,-0.107838881,-0.002723597,-0.023013604,-0.011003967,-0.000277918,-0.002348327
90,1.483,-109.38972,39.82304,81.57339,-109.17159,33.74425,114.29379,-209.43375,0.005708846,26.22320962,5.498514901,-0.084736054,-2.176742395,-1453.249081,-0.008380991,-1721.509281,0.592344515,-0.007388576,-3.058945908,0.060443318,-0.000753936,-0.312137338
